DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,AD,2018,74794,e
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,AL,2018,2870324,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,AM,2018,2972732,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,AT,2018,8822267,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,AZ,2018,9898085,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,BA,2018,3500295,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,BE,2018,11398589,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,BG,2018,7050034,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,BY,2018,9491823,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,CH,2018,8484130,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,CY,2018,864236,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,CZ,2018,10610055,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,DE,2018,82792351,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,DK,2018,5781190,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,EE,2018,1319133,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,EL,2018,10741165,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,ES,2018,46658447,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,FI,2018,5513130,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,FR,2018,67026224,p
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,GE,2018,3729633,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,HR,2018,4105493,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,HU,2018,9778371,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,IE,2018,4830392,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,IS,2018,348450,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,IT,2018,60483973,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,LI,2018,38114,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,LT,2018,2808901,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,LU,2018,602005,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,LV,2018,1934379,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,MC,2018,38300,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,MD,2018,3547539,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,ME,2018,622359,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,MK,2018,2075301,e
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,MT,2018,475701,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,NL,2018,17181084,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,NO,2018,5295619,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,PL,2018,37976687,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,PT,2018,10291027,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,RO,2018,19533481,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,RS,2018,7001444,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,SE,2018,10120242,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,SI,2018,2066880,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,SK,2018,5443120,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,SM,2018,34453,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,TR,2018,80810525,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,UA,2018,42216766,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,UK,2018,66273576,
ESTAT:TPS00001(1.0),17/03/22 23:00:00,A,JAN,XK,2018,1798506,e
